"","CAL","SOD","ALC","COST","cluster","name"
"1",144,15,4.7,0.43,1,"Budweiser"
"2",151,19,4.9,0.43,1,"Schlitz"
"3",157,15,4.9,0.48,1,"Lowenbrau"
"4",170,7,5.2,0.73,2,"Kronenbourg"
"5",152,11,5,0.77,2,"Heineken"
"6",145,23,4.6,0.28,1,"Old Mil"
"7",175,24,5.5,0.4,1,"Augsburger"
"8",149,27,4.7,0.42,1,"Strohs"
"9",99,10,4.3,0.43,3,"Miller lite"
"10",113,8,3.7,0.44,3,"Bud light"
"11",140,18,4.6,0.44,1,"Coors"
"12",102,15,4.1,0.45,3,"Coors lite"
"13",135,11,4.2,0.5,3,"Michelob light"
"14",150,19,4.7,0.76,2,"Becks"
"15",149,6,5,0.79,2,"Kirin"
"16",68,15,2.3,0.38,3,"Pabst"
"17",136,19,4.4,0.43,1,"Hamms"
"18",144,24,4.9,0.43,1,"Heilemans"
"19",72,6,2.9,0.46,3,"Olympia"
"20",97,7,4.2,0.47,3,"Schilitz lite"
